Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
Bristol-Myers Squibb Company,Health Care,8.0,1.5330231498,0.4373259826,0.1325908402,0.17432681639999997,0.5708893859999999,1.3491551352,0.158017809,0.2293935474,A
British American Tobacco p.l.c.,Consumer Non-Durables,8.0,1.042425776,0.185897436,0.328945506,0.587331918,0.788650592,3.833659252,0.568076265,0.346284501,A
Broadcom Inc.,Technology,8.0,4.0002847164999995,2.1771247657500004,0.18398668475,0.2094872385,0.39430958725,0.967008214,0.21959097449999998,0.304714613,A
"Broadridge Financial Solutions, Inc.",Miscellaneous,7.0,1.4571768423333333,0.5039904433333333,0.09069532133333334,0.14010978733333335,0.5950461436666666,1.471241998,0.2606953613333333,0.11988824666666668,BBB
Brookdale Senior Living Inc.,Health Care,4.0,0.6465449905,0.11167783449999999,-0.0655527125,-0.027731058,0.740703456,2.868847438,-0.1188760255,0.0611324695,CCC
Brookfield Asset Management Inc,Consumer Services,7.0,1.326402225,0.284683134,0.067633444,0.1876613,0.563975824,3.407477413,0.062412581,0.126295523,BBB
Brookfield Renewable Partners L.P.,Public Utilities,6.0,0.502648795,0.2040691325,0.0109507955,0.24297118950000002,0.546956985,1.2074528365,0.0020407455,0.309464069,BB
Brunswick Corporation,Energy,6.6,1.8647068682,0.5103489808,0.080268269,0.0774145144,0.682571973,17.1873534304,0.7314805447999999,0.0603904842,BBB
"Builders FirstSource, Inc.",Consumer Services,5.0,1.6178144485,0.053818933,0.008131961,0.0312699265,0.920915028,13.3577543185,0.15657983450000001,0.037258458,B
Bunge Limited,Consumer Non-Durables,6.285714285714286,1.5450393641428573,0.064142657,0.01689193342857143,0.023679627285714287,0.5907164431428571,1.4786055155714286,0.08544309657142857,0.014732189857142858,BB
"CACI International, Inc.",Technology,6.0,1.51132621875,0.10362829225,0.0396105605,0.072667029,0.56421070125,1.30826057725,0.101906563,0.06490672224999999,BB
"CDK Global, Inc.",Miscellaneous,7.0,1.59371617,0.6188149805000001,0.0998103315,0.1732429015,0.771023869,3.9215130265,0.44835993350000003,0.1406020545,BBB
"CEVA, Inc.",Technology,4.333333333333333,10.805494776666668,1.3975381046666666,0.23326590699999997,0.21195231333333334,0.09258562399999999,0.10210366733333333,0.065733831,0.35894895099999996,CCC
"CF Industries Holdings, Inc.",Basic Industries,7.0,2.3988820184999997,0.9660726040000001,0.0436421305,0.15664710599999998,0.73098518,2.838179235,0.045356345000000006,0.2234132465,BBB
